name,positive,negative,neutral
Amrit,0,0,0
Amritsari Kulcha Bite,30,6,0
Amritsari Kulcha Land,10,2,0
Amrutha Grand Restaurant,4,1,0
Amrutha Mess,4,0,0
Amrutha Sweets,8,0,0
An Egg Story,18,9,3
Anand Donne Biriyani,2,0,0
Anand Sweets And Savouries,36,0,0
Anand Sweets and Savouries,23,0,2
Anda Ka Funda,0,3,0
Andal Mess,2,8,0
Ande Ka Funda,18,10,2
Andhra Amigos,14,8,18
Andhra Bhojanam,3,0,0
Andhra Biryani & Curries,4,2,0
Andhra Biryanis,2,0,4
Andhra Box,0,2,0
Andhra Central,6,2,0
Andhra Chettinad Cuisine,24,6,2
Andhra Food Cafe (AFC),2,2,0
Andhra Kafe,7,2,1
Andhra Kitchen,6,0,0
Andhra Mess,26,25,6
Andhra Paris,0,1,0
Andhra Ruchulu,58,4,5
Andhra Spices,4,2,0
Andhra Spicy Food Court,4,10,4
Andhra Star Biryani,2,2,0
Andhra Vantillu,4,2,0
Andhra Vilaas,0,1,0
Andhra Vindu Multi Cuisine Restaurant,2,4,0
Angel Mutton Leg Soup,5,0,0
Angel Restaurant,3,3,0
Angiie's Cafe,8,1,0
Anika's India Kitchen,4,0,0
Aniram's,0,2,0
Anjappar,24,10,2
Anju's Cafe,8,0,0
Anna Kuteera,12,0,0
Annabell,3,0,0
Annapoorani,6,0,0
Annapurna Andhra Hotel,4,0,0
Annapurna Bengali Restaurant,6,0,0
Annapurna Foods,0,0,1
Antilla Aromas,6,1,0
Anupam's Coast II Coast,22,8,0
Apna Hotel,10,6,2
Apna Punjab,12,3,3
Apoorva Multi Cuisine Restaurant,10,0,0
Appam & Curry,10,0,0
Appana Restaurant,9,0,0
Appetite Workstation,1,0,0
Apsara Ice Cream,88,2,0
Aqua - The Park Bangalore,7,0,0
Arabian Bites,9,15,6
Arabian Mataam,2,0,0
Arabian Shawarma,11,1,2
Arafa Juice Center,3,0,1
Aramane Donne Biriyani,39,18,3
Aramane Donne Briyani,2,0,1
Aramane Restaurant,8,12,0
Arena - Artisanal Brewkitchen,57,3,0
Arina's,9,0,0
Armaani Caffe,3,0,0
Arogya,1,0,0
Aroma Fine Dine,7,0,0
Aroma Of Asia,64,12,4
Aromas Of South,2,0,0
Around The Corner,14,8,0
Art of Delight,46,2,0
Artinci Artisanal Ice Cream,8,2,0
Arya Bhavan Sweets,22,11,0
Arya Hungry?,27,3,0
As On Fire,2,0,0
Asaivam Restaurant,17,0,0
Ascharya Hotel,16,4,0
Asha Sweets Center,12,0,0
Asha Sweets Centre,23,3,0
Asha Tiffins,35,5,0
Ashirvaad Grand,9,3,0
Ashirvad Veg,6,0,0
Asia Alive - DoubleTree Suites By Hilton,8,1,1
Asia In A Box,3,2,1
Asia Kitchen By Mainland China,20,0,0
Assi Tussi Lassi,15,1,0
Atithi,13,7,0
Atithi Family Bar & Restaurant,14,2,4
Atomic Lab,9,0,0
Atta Galata,1,0,0
Atty's Bakery,31,0,0
Aura - Radha Regent,3,0,0
AutoExpress - Hot Dogs,7,5,0
Avanti Indian Barbeque & Grill,36,24,0
Avon Bar & Kitchen,8,0,0
Awesome Foods,9,0,0
Axomi - Taste of Assam,22,4,0
Ayda Persian Kitchen,20,0,0
Azimmo Treat,8,0,0
B.M.W - Bhookh Mitaane Wala,4,14,2
B.M.W Bhookh Mitaane Wala,5,1,0
BANGALORE BOX,54,6,0
BBQ King,4,0,0
BBQ Ride 46,3,6,0
BBQ'D - Global Grill & Brewery,32,6,2
BBQ@52,4,0,0
BBxR,8,0,0
BHR Foods,5,0,0
BIB - Breakfast in the Box,5,2,0
BIB-Breakfast in the Box,2,3,1
BISO - Citrus Hotels,36,0,0
BITEBOX,17,2,1
BLOW,17,0,0
BMR Hyderabad Biryani,6,0,0
BOX8- Desi Meals,44,2,2
BR Military Hotel,1,0,0
BTM Bawarchi Biryani,8,10,2
BTM Cakes,4,2,0
BTM Ghar ka Khana,6,2,0
Baahubelly,40,17,3
Baar Union,57,0,3
Baba Chatkora,19,1,0
Baba Da Dhaba,54,3,1
Baba Fattoosh,14,2,1
Baba Ka Dhaba,12,3,0
BabaYaga's,47,10,3
Babu Moshai,0,1,0
Bachelor's Special Biriyani,6,0,0
Bada Bing Burgers,7,0,0
Bageecha,2,0,0
Bahar Cafe,18,0,0
Baisakhi,5,1,0
Baithak,17,0,3
Bajji House,4,0,0
Bake Addiction,3,0,0
Bake The Cake,0,0,0
Bake a Smile,10,0,0
Bake and Fry,5,2,0
Bake and Juice,9,0,0
Baker Ree,16,2,0
Baker's Glove,3,0,0
Bakers Town,15,0,0
Bakers77,10,0,0
Bakimo,3,1,0
Bakingo,15,3,0
Balle-Licious Kitchen,14,0,1
Bamboo Heights,1,0,0
Bamboo Shades,0,3,0
Bamey's Restro Cafe,23,0,0
BanBay,8,0,0
Banana Beach Bar,5,4,0
Banana Leaf,6,0,1
