name,positive,negative,neutral
China Bistro & Lounge,26,0,5
China Bowl,10,2,0
China Down Town,9,0,0
China Garden,10,12,0
China Hut,2,0,0
China On My Plate,6,12,2
China Pearl,54,3,3
China Tang,0,2,0
Chination,4,0,0
Chinese Chaska,0,2,0
Chinese Corner,2,0,2
Chinese Fire Dragon,12,22,0
Chinese House,2,2,0
Chinese Kitchen,6,4,3
Chinese Square,4,0,0
Chinese Street,3,0,1
Chinita Real Mexican Food,17,1,1
Chinmayee's,6,0,0
Chitu's Kitchen,12,0,0
Chivi's Meilleurs Boulangers,21,9,0
Choco Allure,8,0,0
Choco Cheese,11,0,0
Choco Nut Cafe,6,10,2
Chocoberry,0,1,0
Chocolate D'Luxe,4,0,0
Chocolate Junction,4,0,0
Choconut Cafe,2,0,0
Chocs Cafe,8,0,1
Choi Choi Momos,1,0,0
Chokha Chowka,20,3,0
ChopServe,6,0,0
Chote Miya,16,2,0
Chow San,8,7,5
Chowk Tea Stall,1,0,0
Chowmein,2,0,0
Chowpatty,22,12,4
Chubalas Curry And Rice,3,0,0
Chugg,45,5,0
Chulha Chauki Da Dhaba,50,8,2
Chumma Delicious,1,0,0
Chung Shan Chinese Restaurant,24,10,0
Chung Wah,41,2,1
Chung Wah Express,9,3,0
Chung Wah Opus,14,5,1
Chung's Chinese Corner,15,6,0
Chungs Pavilion,2,2,0
Church Street Social,14,5,1
Churchill's,33,6,1
Chutney Chang,81,6,2
Cilantro,4,0,0
Cinnamon,19,1,0
Cinnamon's Kitchen,4,0,0
Cirkus,17,1,2
Cita Pani,18,2,0
Citrus - The Leela Palace,36,2,2
Citrus Cafe - Lemon Tree Hotel,14,0,0
Citrus Cafe - Lemon Tree Premier,8,0,0
City Cafe,1,0,0
City Durbar,20,10,10
Classic Biryani Hut,12,3,0
Classic Lassi Shop,3,3,0
Classic Shop,6,0,0
CloudNYN - Sterling Mac Hotel,39,18,0
Clove Rooftop,1,0,1
Coal Grill & Cafe,2,0,0
Coast,6,0,0
Coastal Creek,36,12,0
Coastal Delight,8,0,0
Coastal Hub,34,6,0
Coastal Mama,12,6,0
Cobaja,3,0,0
Cochin Connection,1,0,0
Coco Barista,3,1,0
Coco Grove Beer Cafe,2,0,0
CocoFresh,2,1,0
Coconadu,2,0,0
Coconut Grove,30,0,0
Coffee Tea & More,12,0,0
Coffee Tindi,20,12,8
Cold Smith Ice Creams,4,0,0
Cold Stone Creamery,64,3,3
Combo Biriyani,0,5,0
Combo Box,2,7,1
Combo King Paramount,2,4,3
Connie's Restaurant & Steakhouse,16,0,4
Cookie Man,13,2,0
Cool Break,7,1,0
Cool Corner,4,0,0
Cool Corner Arun Ice Cream,8,0,0
Cool Joint,2,0,0
Cool Lassi Burger,3,2,0
Cool Point,1,1,0
Copper Chimney,24,0,0
Corner House Ice Cream,178,11,5
Corner Huts,2,0,0
Corprate Biriyani Adda,2,4,0
Costa Biryanis,4,3,1
Costa Coffee,3,0,0
Covai Cafe,4,1,0
Crafted Plate,98,12,1
Crave Bite,6,6,0
Cravy Wings,18,0,0
Crawl Street,32,6,2
Crazy Crush - Juices & Desserts Cafe,1,0,0
Cream Chemistry,36,5,0
Cream Factory,1,0,0
Cream N Desserts,1,0,0
Cream Stone,99,25,4
Cream and Bakes,14,0,0
Cream and Fudge,4,4,2
Creamy Zone,0,0,0
Crepe Nation,4,0,0
Crescent Avenue - Hotel Bangalore International,13,5,0
Crisp Cafe,9,0,0
Crispy Crust Pizza,8,8,4
Crispy Fried Chicken,4,4,0
Croons,30,0,0
Cross Road Cafe,2,0,0
Cross Roads Cafe,30,25,0
Crumb Together,47,9,4
Crumbz Crunches,2,0,0
Crunch Pizzas,22,56,4
Crunch Pizzas - Express Delivery,2,2,0
Crunchie Corner,6,0,0
Crunchy Nights,20,6,0
Cubbon Pavilion - ITC Gardenia,18,0,0
Cucumber Town,6,0,0
Cultch Resto Cafe,33,5,0
Cup Chronicles Cafe,15,0,0
Cup Shup,0,3,0
Cupcake Bliss,7,5,0
Cupcake Noggins,14,0,0
Cuppa,3,0,0
Curries & Pickles,10,9,1
Curries 'N' Phulkas,1,2,0
Curries And Pickles,52,12,4
Curries'N' Fries,8,1,0
Curry Flavours,5,0,0
Curry Leaves,26,6,8
Cutlet Shop,4,1,1
D Fusion,3,0,0
D View Cafe,40,10,0
D'Brooks,2,0,0
D'Cafe,6,0,0
D2V Cafe,12,0,0
DS Juice CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© & Grill,14,24,2
DVG Benne Dosa,6,0,0
Daafoodies,4,1,0
Daawat Restaurant Bar & Pub,20,0,0
Daba Delights,2,4,0
Dabba Gosht,5,8,1
Dabba Karkhana,6,4,0
Dadaba's,0,0,0
Dadi's Dum Biryani,42,15,3
Daily Bite,24,3,0
Daily Bread,23,23,1
Daily Sushi,7,0,0
Dakshin Biryani & Tiffin,12,0,0
Dakshin Flavors,0,2,0
Dakshin Grand,0,0,1
Dakshin Restaurant,24,8,0
Dakshin Sagar,2,2,0
Dakshin Spice,4,1,0
Dal Chawal Roti,10,2,2
Dal Roti Sabji,2,0,0
Dalma,13,0,2
Damodar Seth,8,2,0
Dande's Hyderabad Biryani,12,0,0
Daniyal's,6,1,0
Danny Lambas Punjabi Dhaba,4,0,0
Darjeeling Momo Adda,12,5,3
Darshan Paradise Restaurant,5,1,0
Dasaprakash Cafe,4,0,0
Dash In,24,12,4
Davanagere Benne Dose,18,0,0
Davanagere Benne Dose Hut,4,0,0
Davangere Benna Dose Hotel,14,0,0
David's Kitchen,6,9,0
Dawat,2,0,1
Dawat Midnight Express,1,0,0
Day N Night Kitchen,12,2,1
De Oxford Cafe,0,0,2
De Street Cafe,35,4,1
De Thaali,1,0,0
Debby's Kitchen,6,0,0
Deccan Spice,4,0,0
Deccan Spices,33,0,0
Decker's Lane,2,2,0
Deejas Kitchen,1,0,0
Dehati Murgee,5,1,0
Deja Vu Resto Bar,20,0,0
Delhi Base Sri Food Court,4,0,0
Delhi Bhavan,12,8,0
Delhi Biryani Cafe,0,0,2
Delhi Food Point,9,15,6
Delhi Home Food,2,0,0
Delhi Kitchen,1,2,0
Delhi Pizza House,1,1,0
Delhi Restaurant,2,0,0
Delhi Walle,9,3,0
Delhi's Essence,2,1,1
Delhiciouss,18,0,0
Delhite Food,1,0,0
Deli Counter - Gateway Hotel,2,0,0
DeliBox.in,27,5,8
Delicacy,16,2,2
Delices,15,10,5
Delicious Cakes,2,2,1
Delicious Demons,26,14,0
Delicious Desserts,6,0,0
Delicious Ice Cream Parlour,2,0,0
Delight Food,6,0,0
Delite Chaat House,33,2,0
Delitz Creamvilla Cafe,5,0,1
Deshi Fusion Pizza,5,12,3
Desi Adda,13,1,1
Desi Bites,34,4,4
Desi Breakk,26,8,0
Desi Bytes,0,4,2
Desi Chinese kitchen,2,0,0
Desi Chopstick,24,2,0
Desi Chulha,1,0,0
Desi Deck,24,0,4
Desi Dhaba,7,4,0
Desi Flavours,0,3,0
Desi Foodizzz,35,2,2
Desi Inn,2,0,0
Desi Khana,6,6,0
Desi Rasoi,21,9,0
Desi Tadka,14,8,2
Desi Urbane,14,20,6
Desi Vdesi,8,3,3
Desi Vibes,2,0,0
Desipun,35,3,1
Desserts Tree,12,0,0
Dessi Cuppa,7,0,0
Detox Kitchen,0,2,0
Dev Sagar - Food Street,5,0,0
Dev's Gugababa,6,6,0
Dhaba - Estd 1986 Delhi,20,0,0
Dhaba Bytes,27,0,0
Dhaba Central,2,0,0
Dhaba Express,13,23,4
Dhaba Shaba,3,0,0
Dhaba Social,24,4,0
Dhabeliwala,2,0,0
Dhuaan,7,2,2
Dhyaana,30,0,0
Diabetics Dezire Sugarless Sweets and Bakes,1,0,1
Dialogues,4,1,0
Dil Punjabi,2,4,0
Dil Se Dilli,1,1,1
Dilish Kitchens,29,4,5
Dilli 6,30,4,4
Dilli Darbar,3,0,2
Dilli Dil Se,4,0,0
Dilli in a Box,6,0,0
Dilli6 Paratha,1,1,1
DilliBite,24,10,6
Dindigul Thalappakatti,19,1,0
Dindigul Time Pass Restaurant,27,27,6
Dine @ 9 Paratha Corner,20,2,2
Dine Garden Family Restaurant,13,5,2
Dine In,8,0,0
Dine in Restaurant,8,0,0
DinePost9,11,7,0
Dinemaster Gogo's,0,0,0
Divina - Eden Park Restaurants,2,0,1
Diya's Findish,1,0,0
Django,42,4,4
Dock Frost'd,20,0,0
Dodda Mane Donne Biryani,0,0,2
Doff Pub and Lounge,22,2,2
Dolci Desserts,72,16,0
Dolphin Bar,6,0,0
Domino's Pizza,30,7,2
Donne Biriyani House,67,13,8
Donne Biriyani Mane,27,6,0
Donne Biryani & Kabab Corner,1,0,0
Donne Biryani Angadi Mane,0,3,0
Donne Biryani Hatti,28,12,8
Donne Biryani House,5,1,0
Donne Biryani Mane,9,0,0
Donut Cafe,6,4,0
Doof,4,2,0
Dosa Bazaar,2,0,0
Dosa Plaza,24,6,0
Dosa Time,1,2,0
Dosalicious,0,2,1
Double Blend,8,0,0
Double Decker,18,2,0
Downtown,4,4,0
Dr. Bubbles,12,0,2
Dr. Shawarma,1,2,0
Dr. Sheesha,19,0,1
Dragon Box,5,2,0
Dragon's Kitchen,3,0,0
Drava,11,0,0
Dreamcatcher,7,0,0
Driven Cafe,16,12,0
Drunken Monkey,32,8,1
Drunkling - Sizzlers and Pub,20,0,0
Dry Dock Cafe,1,0,0
Dum & Oven,53,11,4
Dum Biryani Hub,21,22,17
Dunkin' Donuts,59,3,0
Durbar Greens Family Restaurant,4,6,0
Durga Sagar,6,3,0
Dwaraka Grand,4,0,0
Dwaraka Krishna,2,2,0
E - City Combos,0,0,0
E Foods Regalia,14,4,0
E2 - EntrÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â©e Envoy,5,5,1
EC Dine Restaurant,0,2,0
Eagles Pizza,15,0,0
Earth Plate Express,3,0,0
East Delicious,18,2,0
East- The Oterra,1,0,0
Easy Bites,22,15,2
Eat Eroo - Bombay Vada Pav,4,0,0
Eat N Drink,8,0,0
Eat N Drinks,4,0,0
Eat N Meet,6,0,0
Eat Repeat,8,0,0
Eat Repeat Express,9,11,4
Eat Sleep Eat Repeat,10,4,2
Eat Well,39,54,6
EatWater,48,5,15
Eatapita,4,1,0
Eatato Snack Bar,8,8,0
Eaternet,16,10,0
Eatery Have U Been,40,12,8
Eatsomnia,1,0,0
Eatsy,3,1,0
Eatwell Restaurant,4,4,1
Eatzgreen,2,2,0
Ebony,44,7,9
Eddy's Cafe,30,3,0
Eden Huts Dhaba,22,6,0
Eden Park,43,12,0
Edo Restaurant & Bar - ITC Gardenia,4,0,0
Egg House,5,2,2
Egg Star,12,2,0
EggFactor - Street House,12,0,2
El Salver,9,0,0
Elements - Mapple Express,0,2,0
Elements Eatery,14,2,0
Elmas Restaurant,25,10,5
Elongo's,8,2,0
Embers - Nandhana Grand Hotel,4,0,0
Empire Restaurant,162,41,7
Energy Addaa,9,0,0
Enerjuvate Studio & Cafe,36,4,0
Engine,0,0,0
Enroute,36,4,0
Ente Keralam,64,15,1
Entree cafe,8,4,0
Entropy Cafe,0,0,0
Envy,2,0,0
Equinox Bar - DoubleTree Suites By Hilton,18,2,0
Erivum Puliyum,8,0,0
Esfahan Restaurant,4,2,0
Eshanya,12,5,3
Esplanade,19,1,0
Estaa Sweets,2,1,0
Euki,26,4,0
Eurasia Pasta and Barbeque by Little Italy,9,1,0
Excelsior Bakery,8,0,0
Express Food Delivery,24,30,6
Expresso Restaurant,1,1,0
FAB Cafe,1,0,0
FIFA Cafe,0,0,0
FRYBIES,15,9,3
Faasos,155,10,5
Fabcafe,44,0,0
Fabelle Chocolate Boutique - ITC Gardenia,5,1,0
Fabindia Cafe,8,0,2
Facebake,2,0,0
Fahad Hotel,0,0,0
Fai Dang,2,0,0
Families Food Court,4,0,0
Fandom at Gilly's Redefined,21,3,0
Fanoos,8,0,2
Fanoos Xprss,24,14,2
Fashion Knack Cafe,30,9,0
Fat Buddha,12,3,0
Fatima Bakery,4,0,0
Fatso's,25,5,0
Fattoush,34,6,0
Fava,20,0,0
Fava Bistro,36,4,0
Fazzito Kitchen,7,12,1
Feast India Co.,15,3,0
Feast and Burp,1,0,0
Feastaurant,3,0,0
Feaster,0,0,2
Fiero! Pizzeria,2,0,0
Fill N Chill Resto Bar & Pub,4,2,0
Fillers,12,0,0
Filmy Kitchen,0,0,0
Fine Dine Restaurant,2,2,0
Firangi Bake,47,8,0
Fire Station,13,7,0
Firewood Biryani,6,2,0
Fish & Fries Restaurant,8,0,0
Fish Chain,21,4,0
Fish Factory-Citrus Hotel,0,2,0
Fishing Boat - Hotel Goyal Residency,9,3,0
Fishland Deluxe,1,0,0
Fitbakes,4,0,0
Fitnest,18,4,2
Five Spice Dining,0,1,1
Five Star Cafe,29,4,7
Five Star Chicken,57,32,13
Flame Pub & Restaurant - Brigade Garden,9,6,0
Flavor of Tibet,7,0,0
Flavors,2,0,0
Flavors Restaurant,4,12,0
Flavors of India,47,10,3
Flavorsome Bakes,2,0,0
Flavour A Azam,23,9,8
Flavour of China,2,2,0
Flavour of Himalaya,3,0,0
Flavours Hut,4,2,0
Flavours Radha Hometel,9,0,0
Flying Cakes,2,0,0
Food 4 U,24,10,0
Food And You,40,6,0
Food Box,0,1,0
Food Club Restaurant,16,0,0
Food Corner,4,0,0
Food Factory,3,1,0
Food Feast Multicusine Restaurant,8,6,0
Food Junction,32,8,0
Food Ka Masti,1,0,1
Food Lover,1,0,0
Food Mingo,1,3,0
Food Mood,1,0,0
Food Of Punjab,9,0,0
Food Planet,4,2,0
Food Point,12,22,6
Food Point Family Restauarant,2,2,0
Food Springs,0,0,0
Food Square,8,2,0
Food Theory,0,5,0
Food Town,6,2,0
Food Zone,5,2,0
FoodIshq,2,0,0
FoodandSnack.com,1,0,0
Foodhall,10,0,0
Foodie Nation,6,6,0
Foodies Club,0,0,0
Foodies Delight,2,1,0
Foodies Express,0,2,0
Foodies Family Restaurant,4,0,2
Foodies Hub,2,4,1
Foodiesthan,12,0,0
Foodism,20,0,0
Foodizo,11,1,0
Foody's,2,0,0
Foodys Adda,2,0,0
Foodzoo,0,2,0
Forage,10,2,0
Foreign CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â©,54,19,10
Fort Kochi,33,0,0
Foxtail Rodeo,12,0,0
Foxtrot,19,0,1
Freeze It,9,0,3
French Bake House,26,10,10
French Bakery,0,0,0
Fresh 'N' Grills,2,2,0
Fresh Aahar,27,8,2
Fresh Bites,21,4,0
Fresh Kitchen,8,5,0
Fresh Pressery Cafe,12,2,0
FreshMenu,47,25,10
FreshPhulka,13,2,0
Freshies Gourmet Salads,0,2,0
Freshkhilao,2,0,0
Friend's Cafe,9,3,0
Friend's Kitchen,2,0,0
Friends Diner,26,12,2
Friends Night Kitchen,9,10,1
Friendz Zone,28,10,2
Fritz Haber,27,4,0
Frolic,13,0,0
Frootality,7,0,1
FrostBite,21,0,0
Frozen Bottle,108,19,8
Fruit Face,6,0,0
Fudge,6,0,0
Fudgy Love Designer Cakes,26,0,0
Fuel Resto Bar,12,0,0
Fujan,33,27,0
Fujian Express,2,5,0
Fullyfilled,4,0,0
Fun Kitchen,8,0,0
Funjabi,9,8,3
Funky Punjab,34,2,4
Fusion Lounge,2,2,0
Fusion Panda,9,0,0
Fusion Tadka,1,0,0
GKT Biryani World,3,0,0
GMT - Gelateria Montecatini Terme,67,0,0
Galaxy 2 Restaurant,4,0,0
Galito's,0,0,0
Galli Belly,2,2,0
Gallop Bar - Davanam Sarovar Portico Suites,8,0,0
Gallops,22,10,0
Gam's Delicacy,21,3,0
Game Of Tandoors,6,0,0
Ganesh Bhavan,2,2,0
Ganesh Food Joint,36,15,9
Ganesh Restaurant,36,12,12
Ganga Foods,2,0,2
Gangothri Kabab Corner,8,1,0
Gangothri Veg Restaurant,5,0,0
Gangotree,1,0,0
Garage Food Company,6,3,0
Garden Fresh,2,0,2
Garma Garam,8,9,3
Gaura's Secret Recipe,1,0,0
Geetha Cafe,3,0,1
Gelato Italiano,49,24,5
Gelato Pazzo,32,4,4
Ghar Ka Bhojan,2,1,0
Ghar Ki Rasoi,17,28,15
Gharelu Zaika,13,0,0
Ghee Biryani House,3,6,0
Ghee Biryanis,4,0,2
Ghee Positive,17,1,2
Gilly's Restobar,34,6,0
Ging - Royal Orchid Central,94,0,15
Ginger & Garlic,2,0,0
Ginger Mint,0,2,1
Ginseng - Royal Orchid Hotel,2,0,0
Give Me 5 Cafe,6,0,0
Glen's Bakehouse,60,0,0
Go Italia,18,2,0
Gobble Up Churros Cafe,72,12,0
Gobi Gate,2,0,0
Godavari Delights,9,22,3
Gods Own Cafe,18,6,0
Gogula's Sweets & Chats,17,3,0
Gokul Kuteera,4,0,0
Gokul Veg,1,0,0
Gold Bean,4,0,0
Golden China,2,0,0
Golden Grill Restaurant,4,0,0
Golden Restaurant,29,9,0
Golden Rice,10,0,0
Goli Vada Pav NO.1,4,2,0
Goli Vada Pav No 1,5,0,0
Goli Vada Pav No. 1,72,20,13
Golkonda Chimney,30,5,2
Good Bread,8,0,0
Goodness! Beverages,4,0,0
Gooey & Fluffy,4,0,0
Goofy's,0,0,0
Gorbandh,3,0,0
Gourmet,14,0,0
Gourmet Food Truck,8,0,0
Gowdara Naati Mane,4,0,0
Gowdru Hotel,4,0,0
Gowdru Mane Oota,10,7,3
Gowri Gajanand Sweets,12,0,0
Graffitea,2,0,0
Gramin,20,0,0
Grand Chillies,2,0,0
Grand Gowdru Hotel,1,0,0
Grand Spicy Restaurant,8,4,0
Grand Taj Durbar,2,1,1
GrannyzHut,18,3,0
Granos De Cafe,17,0,0
Grapevine,75,5,0
Grazers,18,4,0
Green Family Bar & Restaurant,4,0,0
Green G Juice Bar,10,9,1
Green Hyderabad Biryani House,8,2,1
Green Onion,29,0,0
Green Paprika,3,0,0
Green Pepper,2,6,2
Green Theory,53,7,0
Green Tree Garden Restaurant,8,0,0
Grigliato,4,0,2
Grill 99 - The Ritz-Carlton,1,2,0
Grill N Chill,2,0,0
Grilliez,6,0,6
Grillopia,12,3,0
Grills & Rolls,2,0,0
Grills And Tandoor,16,7,2
Grow Fit,16,4,0
Grubhouse,16,4,0
Gruhalakshmi Home Foods,0,0,0
Gud Dhani,44,0,0
Gufha - The President Hotel,18,2,0
Gujrati Mess,8,0,0
Gulp The Pulp,12,0,0
Gundappa Donne Biryani,22,14,7
Gundu Pulav,0,0,0
Guns N Roses,3,0,0
Guntur Royal Dine,1,0,0
Gurukrupa Paratha House,7,2,0
Gusto's Pizza,3,6,0
Guzzlers Inn,12,0,3
Gyani Da Punjabi Dhaba,41,11,0
H3O,0,3,0
HIGH SKY,6,0,0
HOMMS,18,1,1
HOT BOX,16,8,2
HOT COFFEE,3,0,0
HSR Agarval Bhavan,9,6,0
HSR High Street,10,0,0
HSR SLV Fast Food,25,0,0
Haagen Dazs,15,3,3
Habib Shaheb Kolkatta Katti Rolls,0,0,0
Habib's Biryani,3,0,0
Habibi Falafel,17,2,1
Habitts,3,0,0
Hae Kum Gang,14,0,0
Haji Ali Juice Centre,43,3,0
Hakka Chinese Restaurant,12,2,2
Haldiram's Express,4,4,4
Half & Half Food Box,3,3,0
Halli Kitchen,0,0,4
Halli Mane,0,2,0
Halli Mane Food Court,6,0,0
Halli Mane Rotti,3,0,0
Halli Oota,4,0,0
Halli Rotti Manne,4,1,1
Halo Chef,1,0,0
Ham Khim Chinese Fast Food,8,0,0
Hamara Kozhikode,2,0,0
Hammered,17,0,3
Hamza,8,0,0
Hanchi Thinnuva,4,2,2
Handi Biryani,4,0,0
Hang10 Resto N Cafe,5,0,0
Hangouts @ Kashish Caterers,4,1,0
Hangover,44,11,0
Happy Belly Bakes,48,0,0
Happy Brew,58,2,0
Happy Days,0,1,0
Happy Eat,2,0,0
Happy Endings,3,0,0
Happy Fillings,12,4,0
Happy Kitchen,16,3,1
Happy Singh,14,4,0
Hara Fine Dine,4,0,1
Hard Rock Cafe,38,2,0
Hari Super Sandwich,32,2,0
Harima,17,3,0
Harry's Bar + Cafe,68,6,6
Hasee-E-Shan Makers Of Biryani,8,0,0
Hashtag Cafe,24,24,0
Hashtag Kitchen,2,0,0
Hasini Foods,8,4,0
Hatti Kaapi,28,0,0
Hatti Punjab Di,29,20,5
Haute,7,1,0
Haveli,38,13,2
Havmor,4,2,0
Havmor - Hav Funn,1,0,0
Head O State,0,3,0
Healthie,1,2,1
Healthy Sapiens,18,0,0
Healthy Yummy Food Restaurant,21,0,0
Hearts Unlock Cafe,20,4,0
Height's Cafe - Hotel Bangalore International,0,0,0
Hello Brother Hotel,0,0,0
Helloo Delhi,11,0,0
Heritage Cafe,8,0,2
Hide Out - The Golden Tulip,16,0,0
High n Hungry,0,4,0
Himalyan Inn Tibet Kitchen,2,0,0
Hind Ka Chulah,4,2,0
Hit and Run,7,0,0
Hiyar Majhe Kolkata,22,9,0
Home Food,6,1,0
Home Touch Hotel,0,0,0
Home Treat,8,4,0
Homely Curries & Pickles,1,0,0
HomelyDelight,18,4,4
Homemade Delite,14,3,0
Homemade Food,36,0,3
Homfrez.com,14,0,0
Homifoo,3,1,0
Hoodi Baba A Str-eat Caff,1,0,0
Hoppipola,36,0,4
Hot & Cold Hut,11,6,2
Hot 'N' Fresh,3,0,0
Hot Attack,2,0,0
Hot Brixx,2,2,0
Hot Burg,15,8,1
Hot Cross Bun,7,2,0
Hot Spot Cafe,8,4,0
Hotel A-1,8,0,0
Hotel Ajantha,3,0,0
Hotel Annapoorna,3,1,0
Hotel Aradhana,40,19,1
Hotel Archana Grand,4,0,0
Hotel Ashoka,12,0,2
Hotel Avakay,2,0,0
Hotel Chandrika,20,0,4
Hotel Devanand Kerala Restaurant,8,7,5
Hotel Dil Coorg,0,5,0
Hotel Dine City,24,22,14
Hotel Empark,1,3,0
Hotel Fanoos,4,2,0
Hotel Fine,48,16,0
Hotel Food Lands,39,15,6
Hotel Food Zone,4,0,0
Hotel Godavari,9,0,0
Hotel Green Land,2,0,0
Hotel Green Tara,2,0,0
Hotel Hyperdine,18,20,2
Hotel Ivy Dew Drops,0,0,0
Hotel Jade Empire,2,2,0
Hotel Junior Kuppanna,3,0,3
Hotel Kanchan's Fish & Chicken,4,0,0
Hotel Karavali,2,2,4
Hotel Khaaja,14,24,2
Hotel Lakshmi Paradise,4,2,0
Hotel Manarama,1,0,0
Hotel Manu,6,0,0
Hotel Masti,0,1,0
Hotel Meed Cafe,1,0,0
Hotel Metropole,4,0,0
Hotel Mirchi Red,4,10,4
Hotel Nisarga Grand,4,0,0
Hotel Palace,15,6,0
Hotel Paradise,3,1,0
Hotel Parampare,3,0,0
Hotel Ramprasad,24,0,0
Hotel Rangoon,2,0,0
Hotel Reddy Bhavan,18,0,3
Hotel Ruchi Priya,2,0,0
Hotel Sakti Saravana,2,0,0
Hotel Salala,10,0,2
Hotel Salam,3,0,0
Hotel Shangrila,1,0,0
Hotel Shreekshetra,4,0,1
Hotel Shruthi,2,0,0
Hotel Smile,3,0,0
Hotel Tadaka House,0,0,0
Hotel Tanish,2,0,0
Hotel Thalassery,1,0,0
Hotel Thazooq,8,0,0
Hotel The Nalanda,0,2,0
Hotel Tom's Restaurant,62,3,0
Hotel Uma Bhai,28,10,2
Hotel Vinitha,4,0,0
Hotel Zam Zam,4,0,0
Hottey Smokey,6,0,0
House Of Commons,17,3,0
House Of Kebabs,0,1,0
House Of Lassi,1,0,0
House Of Wholewheat,2,0,0
House Stark Cafe,10,0,0
House of Mandarin,1,0,0
Howlin Wolf,9,0,0
Howrah Bridge,12,8,0
Hum Biryani,2,0,0
Hunan,51,6,3
Hunger Buds,4,4,4
Hunger Camp,19,1,0
Hunger Night King,3,0,0
Hunger Stop,1,0,0
Hunger Twist,17,3,0
Hunger2Eat,3,0,0
HungerLoft,0,0,2
Hungerbreak 24x7,0,8,0
Hungry Bird,1,0,0
Hungry Birds,1,2,0
Hungry Bowl,1,0,0
Hungry Buddies,33,21,6
Hungry Hippie,20,0,0
Hungry Kya?,12,2,0
Hungry Lee,6,0,2
Hungry Nights,7,13,0
Hungry Queen,4,20,0
Hunter's Lounge,0,8,0
Hushy's Kitchen,1,1,0
Hyderabad Bawarchi,6,0,0
Hyderabad Biryaani House,93,13,6
Hyderabad Chefs,18,3,0
Hyderabad Cuisine,10,28,2
Hyderabad Darbar,14,0,0
Hyderabad Dawat,10,10,0
Hyderabad Magic,2,0,0
Hyderabadi Bawarchi,8,9,3
Hyderabadi Biriyani,1,1,0
Hyderabadi Biryaani Hub,6,5,0
Hyderabadi Biryani Corner,0,0,0
Hyderabadi Biryani Hub,14,2,0
Hyderabadi Spice,4,1,0
I Cool,32,4,4
I Siri Restaurant And Caterers,4,0,0
IDC Kitchen,7,0,0
INDULGE by InnerChef,69,26,1
Ibaco,41,5,1
Ice & Spice,21,6,13
Ice - Taj MG Road Bengaluru,8,4,0
Ice Cafe & Lassi Shop,2,0,0
Ice Cream Buggy,11,1,0
Ice Cream Works,24,0,0
Ice Cubes,16,2,2
Ice Land,19,1,0
Ice N Fries Cafe,18,2,0
Ice N Spice,10,0,0
Ice Stone Creamery,34,13,4
Ice Treat,4,0,0
IceBreakers,40,0,0
Iceberg Icecreams,7,1,0
Ideal Kitchen,8,4,0
Idli & Dosa Cafe,2,4,2
Igloo Shakez & Bytez,8,6,0
Ilyazsab The House Of Chicken,36,0,0
Imli,39,16,5
Imperia Restaurant,0,4,0
Imperial Restaurant,28,6,0
Imperio Cafe,8,0,0
Imperio Restaurant,39,16,5
In Time Cane Juice,3,0,0
In Wok,2,0,0
India Garden,4,0,0
India On Wheels,6,0,0
Indian Aroma Cafe,2,2,0
Indian Chicken Biryani Point,0,2,4
Indian Coffee House,18,1,1
Indian Coffee House & Restaurant,37,1,0
Indian Dhaba,4,4,0
Indian Durbar - Conrad Bengaluru,3,3,0
Indian Food Court,2,0,0
Indian Highway Restaurant,6,0,0
Indian Kitchen - Hotel Presidency,6,4,0
Indian Kitchen Eateries-IKE,12,0,0
Indian Paratha Factory,0,5,0
Indian Spice Food,12,0,0
Indian Tadka,4,0,0
Indiana Burgers,10,6,2
Indigo XP,18,2,0
Indira Darshini,27,10,1
Indore Eat Restaurant,4,0,0
Indori Chatorey,9,9,0
Indori Zaika,12,24,4
Indus Family Restaurant,3,3,0
Indy's Comfort Food,16,2,2
Infinitea Tea Room & Tea Store,108,6,0
Inhouse Burger,7,2,2
InnerChef,4,4,0
Insta Cafe,16,4,0
Intriicake,40,0,0
Invitation Bar & Restaurant,0,0,4
Ishta Cafe,2,0,0
Ishta Upahar,21,23,11
It's Mirchi - Ramee Guestline Hotels,8,6,2
Italia - The Park Bangalore,0,0,0
Ithaa's Biriyani,2,0,0
Ithaca - The Chancery Pavilion,14,0,2
Ivy,2,0,0
Iyengar Bakery,30,4,0
Iyengar's Bakery,0,0,0
Iyengars' Bakery,2,0,0
Izakaya Gastro Pub,2,0,0
J K Fish Land,12,5,3
JFD Cafe,6,6,0
JLT Food,20,8,0
JP Fish Land,0,3,0
